round,accuracy,auc,method,dataset,noise_type,alpha,noise_rate,noisy_fraction,seed,feature_set
35,0.7926236575997492,0.4242216999226345,fedavg,brfss,asymmetric,0.1,0.2,0.2,42,original
36,0.7926236575997492,0.422184275247619,fedavg,brfss,asymmetric,0.1,0.2,0.2,42,original
37,0.7926236575997492,0.4324190445685772,fedavg,brfss,asymmetric,0.1,0.2,0.2,42,original
38,0.7926236575997492,0.4493338153774291,fedavg,brfss,asymmetric,0.1,0.2,0.2,42,original
39,0.7926236575997492,0.439384619550767,fedavg,brfss,asymmetric,0.1,0.2,0.2,42,original
40,0.7926236575997492,0.4626280830849885,fedavg,brfss,asymmetric,0.1,0.2,0.2,42,original
41,0.7926236575997492,0.4429425265354653,fedavg,brfss,asymmetric,0.1,0.2,0.2,42,original
42,0.7926236575997492,0.443127832016721,fedavg,brfss,asymmetric,0.1,0.2,0.2,42,original
43,0.7926236575997492,0.449724880150633,fedavg,brfss,asymmetric,0.1,0.2,0.2,42,original
44,0.7926236575997492,0.4511804548149304,fedavg,brfss,asymmetric,0.1,0.2,0.2,42,original
45,0.7926236575997492,0.429960711892176,fedavg,brfss,asymmetric,0.1,0.2,0.2,42,original
46,0.7926236575997492,0.4529382613494763,fedavg,brfss,asymmetric,0.1,0.2,0.2,42,original
47,0.7926236575997492,0.45949239666789,fedavg,brfss,asymmetric,0.1,0.2,0.2,42,original
48,0.7926236575997492,0.448411665960991,fedavg,brfss,asymmetric,0.1,0.2,0.2,42,original
49,0.7926236575997492,0.4570179601332249,fedavg,brfss,asymmetric,0.1,0.2,0.2,42,original
50,0.7926236575997492,0.4547456785255331,fedavg,brfss,asymmetric,0.1,0.2,0.2,42,original
1,0.7926236575997492,0.6039535110147781,fedavg,brfss,asymmetric,0.1,0.2,0.2,123,original
2,0.7926236575997492,0.6393449129690043,fedavg,brfss,asymmetric,0.1,0.2,0.2,123,original
3,0.7926236575997492,0.6650363976428358,fedavg,brfss,asymmetric,0.1,0.2,0.2,123,original
4,0.7926236575997492,0.6904703192345976,fedavg,brfss,asymmetric,0.1,0.2,0.2,123,original
5,0.7926236575997492,0.6975756980949089,fedavg,brfss,asymmetric,0.1,0.2,0.2,123,original
6,0.7926236575997492,0.7083839498169716,fedavg,brfss,asymmetric,0.1,0.2,0.2,123,original
7,0.7926236575997492,0.7104579113924907,fedavg,brfss,asymmetric,0.1,0.2,0.2,123,original
8,0.7926236575997492,0.717893750604031,fedavg,brfss,asymmetric,0.1,0.2,0.2,123,original
9,0.7927151106582008,0.7246241913947001,fedavg,brfss,asymmetric,0.1,0.2,0.2,123,original
10,0.7927151106582008,0.7273625139668753,fedavg,brfss,asymmetric,0.1,0.2,0.2,123,original
11,0.7925191398186616,0.7301589622461896,fedavg,brfss,asymmetric,0.1,0.2,0.2,123,original
12,0.7978234172088526,0.7345860154790582,fedavg,brfss,asymmetric,0.1,0.2,0.2,123,original
13,0.7938256120822554,0.7362268748561583,fedavg,brfss,asymmetric,0.1,0.2,0.2,123,original
